         25105 function calls (24878 primitive calls) in 1.300 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(repeat)
       44    0.000    0.000    0.000    0.000 common.py:429(is_timedelta64_dtype)
       44    0.000    0.000    0.000    0.000 range.py:747(__len__)
       43    0.003    0.000    0.003    0.000 socket.py:438(send)
       43    0.000    0.000    0.000    0.000 iostream.py:91(_event_pipe)
       43    0.000    0.000    0.003    0.000 iostream.py:195(schedule)
       41    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       41    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
       41    0.000    0.000    0.000    0.000 threading.py:259(__exit__)
       40    0.000    0.000    0.000    0.000 common.py:912(is_datetime64_any_dtype)
       40    0.000    0.000    0.000    0.000 popen_loky_posix.py:62(duplicate_for_child)
    37/34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       36    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       36    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       36    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
       36    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
       36    0.000    0.000    0.000    0.000 _dtype.py:307(_name_includes_bit_suffix)
       36    0.000    0.000    0.000    0.000 _dtype.py:321(_name_get)
       36    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_list_like}
       36    0.000    0.000    0.000    0.000 connection.py:139(_check_closed)
       36    0.000    0.000    0.000    0.000 popen_loky_posix.py:66(poll)
       34    0.000    0.000    0.000    0.000 inference.py:322(is_hashable)
       34    0.000    0.000    0.000    0.000 base.py:600(__len__)
       34    0.000    0.000    0.003    0.000 resource_tracker.py:94(ensure_running)
       33    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1054932b0}
       33    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       33    0.000    0.000    0.000    0.000 resource_tracker.py:179(_check_alive)
       32    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       32    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       32    0.003    0.000    0.003    0.000 {built-in method posix.stat}
       32    0.000    0.000    0.000    0.000 numerictypes.py:285(issubclass_)
       32    0.000    0.000    0.000    0.000 numerictypes.py:584(<listcomp>)
       32    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       32    0.000    0.000    0.000    0.000 _posix_reduction.py:34(DupFd)
       32    0.000    0.000    0.000    0.000 connection.py:163(readable)
       32    0.000    0.000    0.000    0.000 connection.py:168(writable)
       32    0.000    0.000    0.000    0.000 connection.py:173(fileno)
       32    0.000    0.000    0.001    0.000 _posix_reduction.py:66(reduce_connection)
     32/4    0.000    0.000    0.001    0.000 ktom_functions.py:687(init_k_tom)
       32    0.000    0.000    0.000    0.000 popen_loky_posix.py:31(__init__)
     31/5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     31/5    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       31    0.000    0.000    0.000    0.000 threading.py:228(__init__)
       30    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       30    0.000    0.000    0.000    0.000 base.py:5953(maybe_extract_name)
       28    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
       28    0.000    0.000    0.000    0.000 cast.py:1379(maybe_cast_to_datetime)
       28    0.000    0.000    0.000    0.000 util.py:48(debug)
       27    0.000    0.000    0.000    0.000 _asarray.py:110(asanyarray)
       26    0.000    0.000    0.000    0.000 _collections_abc.py:759(get)
       26    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
       26    0.000    0.000    0.000    0.000 common.py:703(is_integer_dtype)
