         25105 function calls (24878 primitive calls) in 1.300 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.000    0.000 {pandas._libs.lib.to_object_array_tuples}
  164/144    0.000    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       44    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        8    0.000    0.000    0.000    0.000 _memmapping_reducer.py:359(__reduce__)
        2    0.000    0.000    0.006    0.003 _parallel_backends.py:486(configure)
        6    0.000    0.000    0.068    0.011 parallel.py:796(dispatch_one_batch)
       15    0.000    0.000    0.000    0.000 tempfile.py:148(<listcomp>)
        1    0.000    0.000    0.000    0.000 process_executor.py:493(__init__)
     32/4    0.000    0.000    0.001    0.000 ktom_functions.py:687(init_k_tom)
        1    0.000    0.000    1.300    1.300 <ipython-input-2-f3e5a6f7c38d>:39(<module>)
        1    0.000    0.000    0.002    0.002 resource_tracker.py:358(spawnv_passfds)
       56    0.000    0.000    0.000    0.000 synchronize.py:109(__getstate__)
        8    0.000    0.000    0.000    0.000 process.py:259(__repr__)
       48    0.000    0.000    0.000    0.000 shape_base.py:1171(tile)
        6    0.000    0.000    0.000    0.000 generic.py:188(__init__)
       15    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
       97    0.000    0.000    0.000    0.000 _posix_reduction.py:28(_mk_inheritable)
       97    0.000    0.000    0.000    0.000 {built-in method posix.set_inheritable}
        8    0.000    0.000    0.000    0.000 process.py:344(__reduce__)
        2    0.000    0.000    0.001    0.001 concat.py:306(__init__)
        4    0.000    0.000    1.300    0.325 interactiveshell.py:3400(run_code)
        1    0.000    0.000    0.002    0.002 process_executor.py:925(__init__)
       25    0.000    0.000    0.000    0.000 _collections_abc.py:774(keys)
       19    0.000    0.000    1.223    0.064 threading.py:280(wait)
      158    0.000    0.000    0.000    0.000 common.py:1610(_is_dtype_type)
       16    0.000    0.000    0.000    0.000 context.py:354(set_spawning_popen)
        8    0.000    0.000    0.000    0.000 process.py:234(ident)
        2    0.000    0.000    0.000    0.000 managers.py:1733(_form_blocks)
        4    0.000    0.000    0.004    0.001 process_executor.py:1034(_start_executor_manager_thread)
       68    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.001    0.000 synchronize.py:121(_make_name)
       23    0.000    0.000    0.000    0.000 {built-in method posix.close}
        8    0.000    0.000    0.000    0.000 spawn.py:35(_check_not_importing_main)
       80    0.000    0.000    0.001    0.000 cloudpickle_fast.py:389(_class_reduce)
      104    0.000    0.000    0.000    0.000 pickle.py:322(_getattribute)
        5    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:921(get_code)
        1    0.000    0.000    0.000    0.000 _methods.py:194(_var)
      575    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        4    0.000    0.000    0.000    0.000 common.py:1743(validate_all_hashable)
       32    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.002    0.001 _memmapping_reducer.py:612(_unlink_temporary_resources)
      122    0.000    0.000    0.000    0.000 common.py:1470(is_extension_array_dtype)
       16    0.000    0.000    0.000    0.000 common.py:757(is_signed_integer_dtype)
       36    0.000    0.000    0.000    0.000 connection.py:139(_check_closed)
        4    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
       12    0.000    0.000    0.000    0.000 blocks.py:127(__init__)
      904    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        8    0.000    0.000    0.000    0.000 process.py:17(__init__)
        4    0.000    0.000    0.000    0.000 base.py:574(_engine)
        2    0.000    0.000    0.002    0.001 reusable_executor.py:105(get_reusable_executor)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
        4    0.000    0.000    0.000    0.000 managers.py:232(_rebuild_blknos_and_blklocs)
        1    0.000    0.000    0.001    0.001 util.py:447(spawnv_passfds)
        2    0.000    0.000    0.001    0.000 construction.py:555(_list_to_arrays)
        2    0.000    0.000    0.000    0.000 concat.py:92(_get_mgr_concatenation_plan)
        4    0.000    0.000    0.002    0.001 _memmapping_reducer.py:583(register_folder_finalizer)
       20    0.000    0.000    0.000    0.000 blocks.py:2672(get_block_type)
        9    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      180    0.000    0.000    0.000    0.000 base.py:254(is_dtype)
        4    0.000    0.000    0.001    0.000 managers.py:1176(insert)
       12    0.000    0.000    0.000    0.000 numeric.py:288(full)
       12    0.000    0.000    0.000    0.000 blocks.py:269(mgr_locs)
        4    0.000    0.000    0.000    0.000 index_tricks.py:317(__getitem__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.unlink}
        2    0.000    0.000    0.000    0.000 concat.py:469(get_result)
        4    0.000    0.000    0.001    0.000 agent.py:420(__init__)
        2    0.000    0.000    1.299    0.649 agent.py:774(compete)
