,ID,RT,Response_participant,Response_tom,age,gender,payoff_participant,payoff_tom,tom_level,trialnr
0,2,2.0185618680006883,,,21,Male,,,0,0
1,2,1.0990931680025824,,,21,Male,,,0,1
