         347317 function calls (343352 primitive calls) in 17.825 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      650    0.000    0.000    0.000    0.000 blocks.py:347(dtype)
      650    0.000    0.000    0.000    0.000 managers.py:210(ndim)
      603    0.000    0.000    0.001    0.000 _asarray.py:88(asanyarray)
      600    0.000    0.000    0.002    0.000 common.py:388(is_datetime64tz_dtype)
      600    0.001    0.000    0.008    0.000 cast.py:1273(maybe_infer_to_datetimelike)
      600    0.002    0.000    0.004    0.000 queue.py:153(get)
      600    0.000    0.000    0.000    0.000 queue.py:208(_qsize)
      563    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      554    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      554    0.001    0.000    0.002    0.000 _collections_abc.py:657(get)
      550    0.001    0.000    0.001    0.000 threading.py:81(RLock)
      550    0.005    0.000    0.127    0.000 parallel.py:784(dispatch_one_batch)
      550    0.001    0.000    0.004    0.000 agent.py:1129(<genexpr>)
      550    0.001    0.000    0.001    0.000 _parallel_backends.py:34(__init__)
      550    0.000    0.000    0.000    0.000 _parallel_backends.py:285(compute_batch_size)
      548    0.000    0.000    0.000    0.000 connection.py:134(_check_closed)
      521    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      512    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      500    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      500    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      500    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      500    0.001    0.000    0.002    0.000 functools.py:34(update_wrapper)
      500    0.000    0.000    0.000    0.000 functools.py:64(wraps)
      500    0.000    0.000    0.000    0.000 multiarray.py:145(concatenate)
      500    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(concatenate)
      500    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      500    0.001    0.000    0.002    0.000 common.py:231(is_sparse)
      500    0.001    0.000    0.005    0.000 common.py:198(asarray_tuplesafe)
  500/250    0.008    0.000    0.042    0.000 base.py:250(__new__)
      500    0.001    0.000    0.013    0.000 base.py:5836(ensure_index)
      500    0.002    0.000    0.014    0.000 blocks.py:2662(get_block_type)
      500    0.000    0.000    0.000    0.000 parallel.py:312(delayed_function)
      500    0.001    0.000    0.003    0.000 parallel.py:302(delayed)
      500    0.000    0.000    0.000    0.000 parallel.py:333(__init__)
      500    0.001    0.000    0.001    0.000 parallel.py:235(__init__)
      500    0.002    0.000    0.109    0.000 parallel.py:747(_dispatch)
      500    0.000    0.000    0.000    0.000 queue.py:216(_get)
      500    0.001    0.000    0.001    0.000 _parallel_backends.py:124(get_nested_backend)
      500    0.002    0.000    0.106    0.000 _parallel_backends.py:529(apply_async)
      500    0.000    0.000   17.437    0.035 _parallel_backends.py:537(wrap_future_result)
      500    0.000    0.000    0.000    0.000 _parallel_backends.py:590(__init__)
      500    0.001    0.000    0.001    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      500    0.001    0.000    0.004    0.000 _base.py:316(__init__)
      500    0.000    0.000    0.000    0.000 _base.py:386(__get_result)
      500    0.001    0.000    0.002    0.000 _base.py:392(add_done_callback)
      500    0.002    0.000   17.436    0.035 _base.py:412(result)
      500    0.000    0.000    0.000    0.000 connection.py:142(_check_writable)
      500    0.002    0.000    0.006    0.000 connection.py:181(send_bytes)
