         7849740 function calls (7616040 primitive calls) in 8.259 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.010    0.000 generic.py:3824(_set_item)
       60    0.000    0.000    0.000    0.000 blocks.py:202(_consolidate_key)
      180    0.000    0.000    0.000    0.000 _dtype.py:319(_name_includes_bit_suffix)
       20    0.000    0.000    0.000    0.000 range.py:85(__new__)
       60    0.000    0.000    0.000    0.000 blocks.py:269(mgr_locs)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       60    0.000    0.000    0.003    0.000 construction.py:730(convert)
      220    0.000    0.000    0.000    0.000 common.py:429(is_timedelta64_dtype)
      150    0.000    0.000    0.000    0.000 base.py:5953(maybe_extract_name)
       20    0.000    0.000    0.001    0.000 managers.py:1951(_fast_count_smallints)
       20    0.000    0.000    0.001    0.000 managers.py:1923(_merge_blocks)
       80    0.000    0.000    0.001    0.000 common.py:1341(is_bool_dtype)
      130    0.000    0.000    0.000    0.000 common.py:703(is_integer_dtype)
       50    0.000    0.000    0.000    0.000 agent.py:199(__init__)
      573    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       30    0.000    0.000    0.000    0.000 generic.py:188(__init__)
       40    0.000    0.000    0.002    0.000 blocks.py:2711(make_block)
       60    0.000    0.000    0.000    0.000 base.py:425(_simple_new)
       20    0.000    0.000    0.000    0.000 cast.py:743(infer_dtype_from_scalar)
       60    0.000    0.000    0.000    0.000 numeric.py:283(full)
       20    0.000    0.000    0.006    0.000 base.py:5544(insert)
      500    0.000    0.000    0.000    0.000 common.py:185(classes)
       30    0.000    0.000    0.000    0.000 managers.py:318(_verify_integrity)
       10    0.000    0.000    0.000    0.000 managers.py:1860(_stack_arrays)
       80    0.000    0.000    0.000    0.000 numerictypes.py:365(issubdtype)
       30    0.000    0.000    0.000    0.000 cast.py:1617(construct_1d_object_array_from_listlike)
       10    0.000    0.000    0.002    0.000 concat.py:469(get_result)
      160    0.000    0.000    0.000    0.000 numerictypes.py:293(issubclass_)
       20    0.000    0.000    0.000    0.000 _asarray.py:223(require)
       20    0.000    0.000    0.011    0.001 frame.py:3147(__setitem__)
      200    0.000    0.000    0.000    0.000 common.py:912(is_datetime64_any_dtype)
       20    0.000    0.000    0.011    0.001 frame.py:3231(_set_item)
      100    0.000    0.000    0.002    0.000 base.py:5836(ensure_index)
       60    0.000    0.000    0.000    0.000 base.py:4279(__getitem__)
      130    0.000    0.000    0.000    0.000 common.py:1307(is_float_dtype)
       40    0.000    0.000    0.000    0.000 function_base.py:4640(append)
       90    0.000    0.000    0.000    0.000 common.py:1575(get_dtype)
      600    0.000    0.000    0.000    0.000 shape_base.py:1165(_tile_dispatcher)
      120    0.000    0.000    0.000    0.000 common.py:388(is_datetime64tz_dtype)
       30    0.000    0.000    0.001    0.000 managers.py:126(__init__)
       90    0.000    0.000    0.000    0.000 base.py:563(_reset_identity)
       10    0.000    0.000    0.001    0.000 range.py:694(_concat)
       30    0.000    0.000    0.000    0.000 base.py:6023(_maybe_cast_data_without_dtype)
       20    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
       10    0.000    0.000    0.003    0.000 construction.py:333(_homogenize)
       30    0.000    0.000    0.000    0.000 shape_base.py:83(atleast_2d)
      550    0.000    0.000    0.000    0.000 fromnumeric.py:436(_repeat_dispatcher)
      170    0.000    0.000    0.000    0.000 inference.py:322(is_hashable)
      220    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
       10    0.000    0.000    0.001    0.000 concat.py:35(concatenate_block_managers)
      220    0.000    0.000    0.000    0.000 range.py:747(__len__)
      290    0.000    0.000    0.000    0.000 common.py:195(<lambda>)
