         347317 function calls (343352 primitive calls) in 17.825 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1700    0.001    0.000    0.002    0.000 {built-in method builtins.all}
       13    0.001    0.000    0.007    0.001 context.py:217(BoundedSemaphore)
      300    0.001    0.000    0.012    0.000 construction.py:554(_try_cast)
     1350    0.001    0.000    0.001    0.000 common.py:1769(pandas_dtype)
        5    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       52    0.001    0.000    0.001    0.000 {built-in method builtins.print}
2250/2150    0.001    0.000    0.005    0.000 _asarray.py:16(asarray)
       24    0.001    0.000    0.002    0.000 cloudpickle_fast.py:428(__init__)
      900    0.001    0.000    0.002    0.000 {pandas._libs.lib.is_list_like}
     1100    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(repeat)
       13    0.001    0.000    0.005    0.000 os.py:707(copy)
     1200    0.001    0.000    0.012    0.000 <__array_function__ internals>:2(tile)
      500    0.001    0.000    0.002    0.000 common.py:231(is_sparse)
       50    0.001    0.000    0.004    0.000 parallel.py:625(__init__)
      500    0.001    0.000    0.002    0.000 _base.py:392(add_done_callback)
       50    0.001    0.000   17.806    0.356 agent.py:774(compete)
      400    0.001    0.000    0.002    0.000 managers.py:206(shape)
      150    0.001    0.000    0.001    0.000 generic.py:188(__init__)
      500    0.001    0.000    0.004    0.000 connection.py:390(_send_bytes)
       13    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      210    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      512    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      101    0.001    0.000    0.001    0.000 {built-in method posix.cpu_count}
  661/658    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      100    0.001    0.000    0.006    0.000 managers.py:1951(_fast_count_smallints)
       50    0.001    0.000    0.018    0.000 executor.py:25(get_memmapping_executor)
      100    0.001    0.000    0.006    0.000 managers.py:1923(_merge_blocks)
      100    0.001    0.000    0.056    0.001 generic.py:3824(_set_item)
     1100    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
       19    0.001    0.000    0.002    0.000 tempfile.py:144(__next__)
      100    0.001    0.000    0.006    0.000 frame.py:3833(_sanitize_column)
      150    0.001    0.000    0.001    0.000 uuid.py:132(__init__)
     1200    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      103    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1100    0.001    0.000    0.008    0.000 fromnumeric.py:440(repeat)
      300    0.001    0.000    0.002    0.000 blocks.py:202(_consolidate_key)
      300    0.001    0.000    0.003    0.000 numeric.py:283(full)
       12    0.001    0.000    0.066    0.005 process.py:110(start)
      750    0.001    0.000    0.002    0.000 base.py:5953(maybe_extract_name)
      500    0.001    0.000    0.001    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
       12    0.001    0.000    0.001    0.000 process.py:61(_cleanup)
     2500    0.001    0.000    0.001    0.000 common.py:187(<lambda>)
      300    0.001    0.000    0.001    0.000 base.py:425(_simple_new)
      300    0.001    0.000    0.028    0.000 construction.py:730(convert)
      994    0.001    0.000    0.001    0.000 os.py:748(encode)
     1100    0.001    0.000    0.001    0.000 common.py:429(is_timedelta64_dtype)
      500    0.001    0.000    0.003    0.000 parallel.py:302(delayed)
      142    0.001    0.000    0.005    0.000 resource_tracker.py:94(ensure_running)
       48    0.001    0.000    0.002    0.000 _posix_reduction.py:66(reduce_connection)
  300/200    0.001    0.000    0.017    0.000 agent.py:43(__init__)
      150    0.001    0.000    0.001    0.000 {built-in method posix.urandom}
      101    0.001    0.000    0.003    0.000 context.py:104(cpu_count)
     30/5    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      650    0.001    0.000    0.002    0.000 common.py:703(is_integer_dtype)
       50    0.001    0.000    0.001    0.000 agent.py:1127(<listcomp>)
      500    0.001    0.000    0.001    0.000 parallel.py:235(__init__)
      400    0.001    0.000    0.003    0.000 common.py:1341(is_bool_dtype)
      100    0.001    0.000    0.035    0.000 base.py:5544(insert)
       13    0.001    0.000    0.026    0.002 fork_exec.py:36(fork_exec)
      900    0.001    0.000    0.002    0.000 _dtype.py:319(_name_includes_bit_suffix)
      300    0.001    0.000    0.002    0.000 blocks.py:269(mgr_locs)
       50    0.001    0.000    0.009    0.000 concat.py:469(get_result)
      259    0.001    0.000    0.002    0.000 resource_tracker.py:203(_send)
      781    0.001    0.000    0.001    0.000 os.py:752(decode)
       19    0.001    0.000    0.001    0.000 weakref.py:159(__setitem__)
       24    0.001    0.000    0.018    0.001 reduction.py:237(dump)
     3000    0.001    0.000    0.001    0.000 shape_base.py:1241(<genexpr>)
      500    0.001    0.000    0.006    0.000 process_executor.py:135(wakeup)
     2500    0.001    0.000    0.001    0.000 common.py:185(classes)
      200    0.001    0.000    0.010    0.000 blocks.py:2711(make_block)
     1501    0.001    0.000    0.001    0.000 threading.py:261(_is_owned)
      150    0.001    0.000    0.001    0.000 cast.py:1617(construct_1d_object_array_from_listlike)
       50    0.001    0.000    0.001    0.000 managers.py:1860(_stack_arrays)
      150    0.001    0.000    0.002    0.000 managers.py:318(_verify_integrity)
      100    0.001    0.000    0.002    0.000 range.py:85(__new__)
       12    0.001    0.000    0.002    0.000 os.py:1019(fdopen)
      100    0.001    0.000    0.001    0.000 cast.py:743(infer_dtype_from_scalar)
       50    0.001    0.000    0.031    0.001 construction.py:555(_list_to_arrays)
      500    0.001    0.000    0.001    0.000 _parallel_backends.py:124(get_nested_backend)
      100    0.001    0.000    0.005    0.000 _memmapping_reducer.py:168(_get_temp_dir)
      101    0.001    0.000    0.001    0.000 posixpath.py:334(normpath)
      150    0.001    0.000    0.003    0.000 managers.py:126(__init__)
      400    0.001    0.000    0.001    0.000 numerictypes.py:365(issubdtype)
      300    0.001    0.000    0.001    0.000 base.py:4279(__getitem__)
     1000    0.001    0.000    0.001    0.000 common.py:912(is_datetime64_any_dtype)
      150    0.001    0.000    0.003    0.000 base.py:6023(_maybe_cast_data_without_dtype)
      120    0.001    0.000    0.004    0.000 cloudpickle_fast.py:326(_class_reduce)
      450    0.001    0.000    0.001    0.000 common.py:1575(get_dtype)
      650    0.001    0.000    0.001    0.000 common.py:1307(is_float_dtype)
      403    0.001    0.000    0.001    0.000 os.py:693(__iter__)
      550    0.001    0.000    0.001    0.000 _parallel_backends.py:34(__init__)
      100    0.001    0.000    0.001    0.000 _asarray.py:223(require)
