         7849740 function calls (7616040 primitive calls) in 8.259 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9600    0.002    0.000    0.002    0.000 multiarray.py:145(concatenate)
     9600    0.008    0.000    0.051    0.000 <__array_function__ internals>:2(concatenate)
     9520    0.097    0.000    0.387    0.000 ktom_functions.py:362(p_opk_fun)
     9500    0.162    0.000    0.401    0.000 ktom_functions.py:128(p_opk_approx_fun)
     9500    0.134    0.000    0.179    0.000 ktom_functions.py:171(p_k_udpate)
     9500    0.214    0.000    0.478    0.000 ktom_functions.py:202(param_var_update)
     9500    0.084    0.000    0.525    0.000 ktom_functions.py:246(param_mean_update)
     4130    0.001    0.000    0.001    0.000 generic.py:30(_check)
     1500    0.000    0.000    0.000    0.000 shape_base.py:1241(<genexpr>)
      900    0.000    0.000    0.000    0.000 shape_base.py:1251(<genexpr>)
      900    0.001    0.000    0.002    0.000 base.py:254(is_dtype)
      850    0.001    0.000    0.001    0.000 {method 'repeat' of 'numpy.ndarray' objects}
      800    0.005    0.000    0.005    0.000 {method 'binomial' of 'numpy.random.mtrand.RandomState' objects}
      800    0.000    0.000    0.000    0.000 agent.py:82(_add_to_history)
      790    0.001    0.000    0.001    0.000 common.py:1610(_is_dtype_type)
  780/760    0.000    0.000    0.001    0.000 _asarray.py:16(asarray)
      700    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      610    0.000    0.000    0.001    0.000 base.py:411(find)
      610    0.000    0.000    0.001    0.000 common.py:1470(is_extension_array_dtype)
      600    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      600    0.000    0.000    0.000    0.000 shape_base.py:1165(_tile_dispatcher)
      600    0.002    0.000    0.004    0.000 shape_base.py:1169(tile)
      600    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(tile)
      573    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      560    0.001    0.000    0.003    0.000 fromnumeric.py:55(_wrapfunc)
      550    0.001    0.000    0.002    0.000 fromnumeric.py:42(_wrapit)
      550    0.000    0.000    0.000    0.000 fromnumeric.py:436(_repeat_dispatcher)
      550    0.000    0.000    0.003    0.000 fromnumeric.py:440(repeat)
      550    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(repeat)
      500    0.000    0.000    0.000    0.000 common.py:187(<lambda>)
      500    0.000    0.000    0.000    0.000 common.py:185(classes)
      400    0.001    0.000    0.002    0.000 agent.py:205(compete)
      400    0.005    0.000    8.213    0.021 agent.py:498(compete)
      400    0.003    0.000    8.208    0.021 ktom_functions.py:643(k_tom)
   400/50    0.001    0.000    0.010    0.000 ktom_functions.py:690(init_k_tom)
      320    0.000    0.000    0.001    0.000 common.py:201(is_object_dtype)
      310    0.000    0.000    0.001    0.000 common.py:463(is_period_dtype)
      310    0.000    0.000    0.001    0.000 common.py:499(is_interval_dtype)
      310    0.000    0.000    0.001    0.000 common.py:537(is_categorical_dtype)
      290    0.000    0.000    0.000    0.000 common.py:195(<lambda>)
      290    0.000    0.000    0.000    0.000 common.py:190(classes_and_not_datetimelike)
      270    0.000    0.000    0.000    0.000 common.py:1769(pandas_dtype)
      260    0.000    0.000    0.001    0.000 dtypes.py:923(is_dtype)
      260    0.000    0.000    0.001    0.000 dtypes.py:1132(is_dtype)
      240    0.000    0.000    0.000    0.000 managers.py:208(<genexpr>)
      230    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      230    0.000    0.000    0.000    0.000 blocks.py:265(mgr_locs)
      220    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      220    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
      220    0.000    0.000    0.000    0.000 common.py:429(is_timedelta64_dtype)
      220    0.000    0.000    0.000    0.000 range.py:747(__len__)
      200    0.000    0.000    0.000    0.000 common.py:912(is_datetime64_any_dtype)
      180    0.000    0.000    0.001    0.000 _dtype.py:333(_name_get)
      180    0.000    0.000    0.000    0.000 _dtype.py:319(_name_includes_bit_suffix)
      180    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
      180    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_list_like}
      170    0.000    0.000    0.000    0.000 inference.py:322(is_hashable)
      170    0.000    0.000    0.000    0.000 base.py:600(__len__)
      160    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
